Scientific Name,Common Name,Threatened status,Kingdom,Class,Family,Genus,Species,Species Author,Profile,Date extracted
Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",Vulnerable,Animalia,Mammalia,Otariidae,Neophoca,cinerea,"(Peron,1816)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=22,2020-Oct-12
Mirounga leonina,Southern Elephant Seal,Vulnerable,Animalia,Mammalia,Phocidae,Mirounga,leonina,"(Linnaeus,1758)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26,2020-Oct-12
Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,novaehollandiae,"(Waterhouse, 1843)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=96,2020-Oct-12
Balaenoptera borealis,Sei Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis,"Lesson, 1828",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=34,2020-Oct-12
Balaenoptera musculus,Blue Whale,Endangered,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus,"(Linnaeus, 1758)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=36,2020-Oct-12
Balaenoptera physalus,Fin Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus,"(Linnaeus, 1758)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=37,2020-Oct-12
Megaptera novaeangliae,Humpback Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae,"(Borowski, 1781)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=38,2020-Oct-12
Eubalaena australis,Southern Right Whale,Endangered,Animalia,Mammalia,Balaenidae,Eubalaena,australis,"(Desmoulins, 1822)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=40,2020-Oct-12
Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,Animalia,Mammalia,Muridae,Xeromys,myoides,"Thomas, 1889",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66,2020-Oct-12
Zyzomys pedunculatus,"Central Rock-rat, Antina",Critically Endangered,Animalia,Mammalia,Muridae,Zyzomys,pedunculatus,"(Waite,1896)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68,2020-Oct-12
