X,Y,OBJECTID,ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,XSP,RA_NO,RA_NAME,LG_NO,LG_NAME,REST_AREA_TYPE,STAY_24_HOUR,REST_AREA_NAME,OWNERSHIP,INFORMATION_BOARD,SCENIC_LOOKOUT,COMMEMORATION_WAY,SURFACE,SURFACE_TYPE,SURFACE_AREA,CONSTRUCTED_SHELTER,NATURAL_SHADE,LIGHTING_PRESENT,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,EFFLUENT_DUMP_SITE,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,ROUTE_NE_ID
119.797372677,-23.454710027,125858,H006,Great Northern Hwy,Great Northern Hwy,1151.37,1151.37,Single,1145.18,1145.18,State Road,Right,11,Pilbara,703,Meekatharra,Roadhouse,Yes,Private Capricorn Roadhouse,Other,No,No,,Surfaced,,,Yes,Yes,Powered Site,1,1,Yes,No,1,Yes,247653
114.720161951,-27.5032241979999,125859,H007,North West Coastal Hwy,North West Coastal Hwy,151.04,151.04,Single,151.01,151.01,State Road,Left,14,Mid West-Gascoyne,513,Northampton,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,2250,No,No,,3,0,No,No,0,No,247803
115.25705394,-29.8489844329999,125860,H004,Brand Hwy,Brand Hwy,220.91,220.91,Single,218.2,218.2,State Road,Right,14,Mid West-Gascoyne,501,Carnamah,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,710,No,Yes,,2,0,No,No,0,No,247578
120.627015813,-33.665446372,125861,H008,South Coast Hwy,South Coast Hwy,347.61,347.61,Single,348.24,348.24,State Road,Right,01,Great Southern,610,Ravensthorpe,Minor Rest Area,No,Jerdacuttup road Rest Area,Main Roads,Yes,No,,Surfaced,Two Coat Seal,,No,No,,2,0,No,No,1,No,247842
116.21774234,-22.6609756719999,125862,M029,Nanutarra Munjina,Nanutarra Munjina Rd,89.11,89.11,Single,89.11,89.11,State Road,Right,11,Pilbara,811,Ashburton,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,1,1,Yes,No,0,No,247800
115.398190589,-33.70287553,125863,M008,Vasse,Vasse Hwy,5.5,5.5,Single,5.5,5.5,State Road,Right,02,South West,205,Busselton (C),Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,No,,0,0,No,No,0,No,247861
125.567715924,-18.198660928,125864,H006,Great Northern Hwy,Great Northern Hwy,2523.11,2523.11,Single,2531.64,2531.64,State Road,Left,06,Kimberley,003,Derby - West Kimberley,Roadhouse,Unknown,Shell - Fitzroy Crossing,Other,No,No,Savannah Way,Surfaced,Single Seal,,No,No,Powered Site,1,1,No,No,1,No,247653
118.745987196,-25.991570066,125865,H006,Great Northern Hwy,Great Northern Hwy,820.7,820.7,Single,814.51,814.51,State Road,Left,14,Mid West-Gascoyne,703,Meekatharra,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,Surfaced,Two Coat Seal,5531,No,No,,2,0,No,No,0,No,247653
116.087646302,-31.90095379,125866,H005,Great Eastern Hwy,Great Eastern Hwy,23.37,23.37,Right,23.56,23.56,State Road,Right,07,Metropolitan,106,Mundaring,Heavy Vehicle Rest Area,No,,Main Roads,No,No,,,,,No,No,,4,0,No,No,0,No,247651
121.674755176,-31.692589488,125867,H010,Coolgardie Esperance Hwy,Coolgardie Esperance Hwy,100.3,100.3,Single,100.26,100.26,State Road,Right,05,Goldfields - Esperance,602,Coolgardie,Minor Rest Area,No,,Main Roads,No,No,,Unsurfaced,,,No,Yes,,1,0,No,No,0,No,247618
