State,LGA,11: Separate house,"21: Semi-detached, row or terrace house, townhouse etc. with : One storey","22: Semi-detached, row or terrace house, townhouse etc. with : Two or more storeys",31: Flat or apartment: In a one or two storey block,32: Flat or apartment: In a three storey block,33: Flat or apartment: In a four or more storey block,34: Flat or apartment: Attached to a house,91: Caravan,"92: Cabin, houseboat","93: Improved home, tent, sleepers out","94: House or flat attached to a shop, office, etc.",Z: Not stated
1: New South Wales,10050: Albury (C),3826,2145,300,248,50,17,0,11,18,0,20,38
5: Western Australia,50560: Beverley (S),99,0,0,6,0,0,0,0,0,0,0,3
5: Western Australia,50210: Armadale (C),4405,1547,38,109,40,0,0,40,3,0,7,26
5: Western Australia,50250: Ashburton (S),1499,150,8,53,13,0,0,42,19,9,3,12
5: Western Australia,50280: Augusta-Margaret River (S),1302,96,21,41,0,0,0,23,42,6,3,27
5: Western Australia,50350: Bassendean (T),1075,403,71,80,20,9,0,0,0,0,0,6
5: Western Australia,50420: Bayswater (C),4042,1638,874,758,343,446,0,0,0,0,4,25
5: Western Australia,50490: Belmont (C),3331,1187,566,277,325,392,0,0,0,0,0,33
5: Western Australia,50630: Boddington (S),176,11,0,11,0,0,0,0,0,0,0,0
5: Western Australia,51260: Busselton (C),2956,529,58,19,0,0,4,42,48,6,8,20
5: Western Australia,50770: Boyup Brook (S),132,3,0,0,0,0,0,0,0,0,0,0
5: Western Australia,50840: Bridgetown-Greenbushes (S),330,21,0,11,0,0,0,0,0,0,0,0
5: Western Australia,50910: Brookton (S),87,3,0,12,0,0,0,0,0,0,0,0
5: Western Australia,50980: Broome (S),2190,176,144,263,4,0,3,205,20,71,19,78
5: Western Australia,51080: Broomehill-Tambellup (S),97,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,51120: Bruce Rock (S),83,20,0,0,0,0,0,0,0,0,0,3
5: Western Australia,50080: Albany (C),3134,564,61,29,0,0,3,31,17,9,6,21
4: South Australia,49799: Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0
4: South Australia,49399: Unincorporated SA,466,4,0,20,0,0,0,20,14,24,0,39
4: South Australia,48830: Yorke Peninsula (DC),844,42,0,15,0,0,0,16,6,0,14,13
4: South Australia,48750: Yankalilla (DC),338,26,11,16,15,0,0,9,4,0,8,5
4: South Australia,48640: Wudinna (DC),122,3,0,0,0,0,0,3,3,0,3,3
4: South Australia,48540: Whyalla (C),1076,2003,10,316,23,0,0,0,29,0,0,17
4: South Australia,48410: West Torrens (C),3426,2109,610,1796,456,96,0,7,8,0,14,37
4: South Australia,48340: Wattle Range (DC),889,90,4,49,0,0,0,6,9,0,0,9
4: South Australia,48260: Walkerville (M),274,145,129,180,57,63,0,3,3,0,0,0
4: South Australia,48130: Wakefield (DC),540,19,0,43,0,0,0,0,0,0,0,3
4: South Australia,48050: Victor Harbor (C),1169,211,44,58,9,10,3,3,14,0,5,5
4: South Australia,47980: Unley (C),1291,798,385,1848,189,67,0,0,0,0,5,13
4: South Australia,47910: Tumby Bay (DC),208,30,0,28,0,0,0,4,0,0,0,0
4: South Australia,47800: The Coorong (DC),503,21,0,6,0,0,0,3,7,0,4,3
4: South Australia,47700: Tea Tree Gully (C),5254,886,277,352,0,0,0,0,3,0,7,13
4: South Australia,47630: Tatiara (DC),547,23,0,12,0,0,0,3,3,0,3,0
5: Western Australia,51190: Bunbury (C),2584,1209,190,292,67,16,0,10,18,0,3,11
5: Western Australia,51310: Cambridge (T),1063,182,208,156,177,301,0,0,0,0,4,3
1: New South Wales,10130: Armidale Regional (A),2485,628,110,443,38,0,0,6,19,0,6,38
5: Western Australia,53010: Dumbleyung (S),71,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,52590: Dandaragan (S),309,15,3,6,0,0,0,13,3,4,3,6
5: Western Australia,52660: Dardanup (S),920,111,4,0,0,0,0,9,17,0,0,11
5: Western Australia,52730: Denmark (S),522,48,0,0,0,0,0,3,0,0,0,3
5: Western Australia,52800: Derby-West Kimberley (S),1315,178,9,78,0,0,0,40,7,78,12,13
5: Western Australia,52870: Donnybrook-Balingup (S),333,32,0,4,0,0,0,0,0,0,0,3
5: Western Australia,52940: Dowerin (S),72,3,0,0,0,0,0,3,0,0,0,0
5: Western Australia,53080: Dundas (S),90,3,0,0,0,0,0,7,3,0,0,3
5: Western Australia,51330: Canning (C),5778,2518,320,407,24,125,3,0,3,0,7,37
5: Western Australia,53150: East Fremantle (T),214,79,103,36,79,82,0,0,0,0,7,3
5: Western Australia,53220: East Pilbara (S),1288,48,10,41,0,0,0,28,0,0,5,21
5: Western Australia,53290: Esperance (S),1216,249,18,58,0,0,0,7,0,7,3,35
5: Western Australia,53360: Exmouth (S),389,13,11,0,0,0,0,44,0,45,0,5
5: Western Australia,53430: Fremantle (C),1562,756,713,233,331,285,4,0,19,0,11,32
5: Western Australia,53570: Gingin (S),337,25,7,0,0,0,0,3,0,0,0,8
5: Western Australia,52520: Dalwallinu (S),152,15,0,4,0,0,0,3,0,0,7,3
5: Western Australia,52450: Cunderdin (S),120,0,0,12,0,0,0,0,0,0,0,5
5: Western Australia,52380: Cue (S),28,0,0,0,0,0,0,3,0,0,0,0
5: Western Australia,52310: Cuballing (S),43,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,52240: Cranbrook (S),99,7,0,5,0,0,0,0,0,0,0,3
5: Western Australia,52170: Cottesloe (T),330,49,111,89,214,48,0,0,0,0,0,0
5: Western Australia,52100: Corrigin (S),116,9,0,0,0,0,0,0,0,0,0,4
5: Western Australia,52030: Coorow (S),122,5,0,0,0,0,0,8,0,0,0,0
5: Western Australia,51960: Coolgardie (S),399,48,12,18,0,0,0,0,0,0,0,3
5: Western Australia,51890: Collie (S),648,77,0,12,0,0,0,4,0,0,3,4
