Country Name,Domestic Health Expenditure (in millions of USD),Education Expenditure (in millions of USD),Final Consumption (in millions of USD),Research and Development Expenditure (in millions of USD)
Aruba,,,711.9,
Afghanistan,113.2,636.5,,
Angola,1577.7,3012.7,15797.7,
Albania,348.1,470.2,1497.1,
Andorra,136.9,96.5,,
United Arab Emirates,8759.8,,50946,
Argentina,42537,35105.6,113902.3,3585.8
Armenia,158.2,312.1,1420,26.3
American Samoa,,,313,
Antigua and Barbuda,40.2,35.9,235.3,
Australia,84240.5,68159.5,247408.8,24917.8
Austria,31273.5,22358.2,81120.2,12689.5
Azerbaijan,409.5,1010.9,4634.7,75.5
Burundi,58.9,151.1,795.8,
Belgium,39626,32224.6,115513.1,13346.7
Benin,103.4,449.1,1331,
Burkina Faso,422.2,794,2502.5,86.2
Bangladesh,948,,14972.3,
Bulgaria,2397,2412.5,9221.1,438.2
Bahrain,976.6,824.6,5898,
"Bahamas, The",474.3,302.1,1577.7,
Bosnia and Herzegovina,1131.9,,3666.3,36.2
Belarus,2178.4,2624.1,8566.3,319.7
Belize,72.7,138.5,309.2,
Bermuda,,94.6,830.4,
Bolivia,1668.2,,6384.6,
Brazil,81832.2,130423.7,416042.9,22573.1
Barbados,149.5,217.4,605.1,
Brunei Darussalam,260.5,,3211.2,
Bhutan,59.3,177.1,411.8,
Botswana,807.9,1235.8,3207.6,
Central African Republic,15.1,36.3,291.5,
Canada,130275.5,,341453.8,27524
Switzerland,26443.6,34882.8,79828.1,23726.7
Channel Islands,,,,
Chile,12661.4,15014.4,39090.7,986.5
China,359384,451477.8,2009655.8,260491.8
Cote d'Ivoire,653.8,1962.1,5244.1,
Cameroon,50.9,1104.5,3899.7,
"Congo, Dem. Rep.",157.3,553.2,2309.6,
"Congo, Rep.",133.5,493.6,2139.6,
Colombia,17013.2,14145.5,46410.3,757.4
Comoros,5.5,,116.6,
Cabo Verde,58.1,91.7,318.4,
Costa Rica,3260.2,4278.4,9899.3,266.7
Cuba,10145,,29867,417.1
Curacao,,,,
Cayman Islands,,,,
Cyprus,629.9,1307.9,3388.5,125
Czech Republic,12924.3,8321.4,41011,3915.2
Germany,323946.3,179769.3,730471.5,112952.5
Djibouti,31.5,103.1,601.5,
Dominica,19.5,24.8,,
Denmark,28016.7,25747.5,81077.7,10130.2
Dominican Republic,2145.7,3136.1,8750.7,
Algeria,7158.3,11065.5,32234,923.6
Ecuador,4549,4812.5,15197.2,
"Egypt, Arab Rep.",4112.8,,23790.8,1601.6
Euro area,945936,617417.6,2606675.7,278386.6
Eritrea,,,,
Spain,82723.1,55092.5,243783.1,15847.9
Estonia,1301.4,1331.2,5172,343.8
Ethiopia,714.5,4619.7,9084.1,224.4
Finland,18186.7,16227,58111.6,6970.9
Fiji,113,249,1032.2,
France,216153.7,141127.8,612081.8,57042.4
Faroe Islands,,238.7,814.3,
"Micronesia, Fed. Sts.",11.7,45.5,,
Gabon,262.7,496.7,1975.4,
United Kingdom,207916.6,144950.2,498432.6,44735.5
Georgia,426.7,580.6,2250.2,43.9
Ghana,639.8,2134.5,5193.9,
Gibraltar,,,,
Guinea,73.8,239.6,1577.2,
"Gambia, The",16,37,118.4,
Guinea-Bissau,8,29.7,125.5,
Equatorial Guinea,71.4,,2875.5,
Greece,8285.6,6931.6,40745.3,2258
Grenada,21.3,35.7,,
Greenland,,311.7,1217.2,
Guatemala,1493.2,2113.9,7575.9,21.2
Guam,,,,
Guyana,175.2,221.5,,
"Hong Kong SAR, China",,11295.5,33548.1,2730.6
Honduras,657.4,1142.2,3123,9.2
Croatia,3115.6,2166.9,10809.1,478.6
Haiti,135.4,226.2,1192,
Hungary,6668.6,6604.5,28833.9,1904.2
Indonesia,13548.5,27116.9,92630.3,2417.7
Isle of Man,,,,
India,25430.4,,285489,17651.1
Ireland,17425.2,11606.8,41215.7,
"Iran, Islamic Rep.",19763.7,16880.4,59807.1,3697.6
Iraq,3292,,30526.3,84.1
Iceland,1689,1875.4,5855,520.4
Israel,16882.7,21522.4,79567.4,16985.3
