L/100km,cylinders,displacement,horsepower,weight (kg),acceleration,model year,origin,car name
13.07,8,307.0,130,1589.12,12.0,70,1,chevrolet chevelle malibu
15.68,8,350.0,165,1674.83,11.5,70,1,buick skylark 320
13.07,8,318.0,150,1558.28,11.0,70,1,plymouth satellite
14.7,8,304.0,150,1556.92,12.0,70,1,amc rebel sst
13.84,8,302.0,140,1564.17,10.5,70,1,ford torino
15.68,8,429.0,198,1968.71,10.0,70,1,ford galaxie 500
16.8,8,454.0,220,1974.6,9.0,70,1,chevrolet impala
16.8,8,440.0,215,1955.56,8.5,70,1,plymouth fury iii
16.8,8,455.0,225,2006.8,10.0,70,1,pontiac catalina
15.68,8,390.0,190,1746.03,8.5,70,1,amc ambassador dpl
15.68,8,383.0,170,1615.87,10.0,70,1,dodge challenger se
16.8,8,340.0,160,1636.73,8.0,70,1,plymouth 'cuda 340
15.68,8,400.0,150,1705.67,9.5,70,1,chevrolet monte carlo
16.8,8,455.0,225,1399.55,10.0,70,1,buick estate wagon (sw)
9.8,4,113.0,95,1075.74,15.0,70,3,toyota corona mark ii
10.69,6,198.0,95,1284.81,15.5,70,1,plymouth duster
13.07,6,199.0,97,1258.05,15.5,70,1,amc hornet
11.2,6,200.0,85,1173.24,16.0,70,1,ford maverick
8.71,4,97.0,88,965.99,14.5,70,3,datsun pl510
9.05,4,97.0,46,832.2,20.5,70,2,volkswagen 1131 deluxe sedan
9.41,4,110.0,87,1211.79,17.5,70,2,peugeot 504
9.8,4,107.0,90,1102.04,14.5,70,2,audi 100 ls
9.41,4,104.0,95,1077.1,17.5,70,2,saab 99e
9.05,4,121.0,113,1013.15,12.5,70,2,bmw 2002
11.2,6,199.0,90,1200.91,15.0,70,1,amc gremlin
23.52,8,360.0,215,2092.97,14.0,70,1,ford f250
23.52,8,307.0,200,1984.58,15.0,70,1,chevy c20
21.38,8,318.0,210,1987.3,13.5,70,1,dodge d200
26.14,8,304.0,193,2146.03,18.5,70,1,hi 1200d
8.71,4,97.0,88,965.99,14.5,71,3,datsun pl510
8.4,4,140.0,90,1026.76,15.5,71,1,chevrolet vega 2300
9.41,4,113.0,95,1010.43,14.0,71,3,toyota corona
9.41,4,98.0,?,927.89,19.0,71,1,ford pinto
12.38,6,232.0,100,1194.56,13.0,71,1,amc gremlin
14.7,6,225.0,105,1559.64,15.5,71,1,plymouth satellite custom
13.84,6,250.0,100,1509.75,15.5,71,1,chevrolet chevelle malibu
12.38,6,250.0,88,1497.51,15.5,71,1,ford torino 500
13.07,6,232.0,100,1491.16,15.5,71,1,amc matador
16.8,8,350.0,165,1908.84,12.0,71,1,chevrolet impala
16.8,8,400.0,175,2024.49,11.5,71,1,pontiac catalina brougham
16.8,8,351.0,153,1883.9,13.5,71,1,ford galaxie 500
16.8,8,318.0,150,1857.6,13.0,71,1,plymouth fury iii
19.6,8,383.0,180,2247.17,11.5,71,1,dodge monaco (sw)
18.09,8,400.0,170,2152.38,12.0,71,1,ford country squire (sw)
18.09,8,400.0,175,2331.07,12.0,71,1,pontiac safari (sw)
13.07,6,258.0,110,1343.31,13.5,71,1,amc hornet sportabout (sw)
10.69,4,140.0,72,1092.06,19.0,71,1,chevrolet vega (sw)
12.38,6,250.0,100,1488.44,15.0,71,1,pontiac firebird
13.07,6,250.0,88,1423.58,14.5,71,1,ford mustang
10.23,4,122.0,86,1006.8,14.0,71,1,mercury capri 2000
8.4,4,116.0,90,962.81,14.0,71,2,opel 1900
7.84,4,79.0,70,940.59,19.5,71,2,peugeot 304
7.84,4,88.0,76,936.51,14.5,71,2,fiat 124b
7.59,4,71.0,65,804.08,19.0,71,3,toyota corolla 1200
6.72,4,72.0,69,731.52,18.0,71,3,datsun 1200
8.71,4,97.0,60,831.75,19.0,71,2,volkswagen model 111
9.05,4,91.0,70,886.62,20.5,71,1,plymouth cricket
9.8,4,113.0,95,1033.11,15.5,72,3,toyota corona hardtop
