Type,Combined_LP100KM,Make_Model
Two Seaters,11.2007,Acura_NSX
Two Seaters,8.4184,ALFA ROMEO_4C
Two Seaters,11.2299,Aston Martin Lagonda Ltd_Vantage V8
Two Seaters,9.0484,Audi_TT Roadster quattro
Two Seaters,8.513,BMW_Z4 sDrive30i
Two Seaters,22.2066,Bugatti_Chiron
Two Seaters,16.1326,Chevrolet_CORVETTE
Two Seaters,12.9529,Chevrolet_CORVETTE
Two Seaters,14.0261,Chevrolet_CORVETTE
Two Seaters,15.6358,Chevrolet_CORVETTE
Two Seaters,13.52,Chevrolet_CORVETTE
Two Seaters,12.2249,Chevrolet_CORVETTE
Two Seaters,13.1345,"Ferrari North America, Inc._488 gtb"
Two Seaters,13.2657,"Ferrari North America, Inc._488 gtb"
Two Seaters,13.9873,"Ferrari North America, Inc._488 Pista"
Two Seaters,14.1598,"Ferrari North America, Inc._488 Pista Spider"
Two Seaters,13.1345,"Ferrari North America, Inc._488 Spider"
Two Seaters,13.2657,"Ferrari North America, Inc._488 Spider"
Two Seaters,17.6307,"Ferrari North America, Inc._812 Superfast"
Two Seaters,8.0279,FIAT_124 Spider
Two Seaters,7.9287,FIAT_124 Spider
Two Seaters,17.2765,Ford_FORD GT
Two Seaters,9.1657,Jaguar_F-TYPE Convertible
Two Seaters,10.3656,Jaguar_F-TYPE Convertible
Two Seaters,12.6021,Jaguar_F-TYPE Convertible Manual
Two Seaters,9.1657,Jaguar_F-TYPE Coupe
Two Seaters,10.3656,Jaguar_F-TYPE Coupe
Two Seaters,12.6021,Jaguar_F-TYPE Coupe Manual
Two Seaters,13.4179,Jaguar_F-TYPE R AWD Convertible
Two Seaters,13.4179,Jaguar_F-TYPE R AWD Coupe
Two Seaters,11.274,Jaguar_F-TYPE S AWD Convertible
Two Seaters,11.274,Jaguar_F-TYPE S AWD Coupe
Two Seaters,10.7713,Jaguar_F-TYPE S Convertible
Two Seaters,12.8767,Jaguar_F-TYPE S Convertible Manual
Two Seaters,10.7713,Jaguar_F-TYPE S Coupe
Two Seaters,12.8767,Jaguar_F-TYPE S Coupe Manual
Two Seaters,12.7495,Jaguar_F-TYPE SVR AWD Convertible GEN2
Two Seaters,12.7495,Jaguar_F-TYPE SVR AWD Coupe GEN2
Two Seaters,21.4628,Lamborghini_Aventador Coupe
Two Seaters,21.7166,Lamborghini_Aventador Roadster
Two Seaters,15.5927,Lamborghini_Huracan
Two Seaters,15.8601,Lamborghini_Huracan 2WD
Two Seaters,15.5927,Lamborghini_Huracan Spyder
Two Seaters,15.8601,Lamborghini_Huracan Spyder 2WD
Two Seaters,7.9133,MAZDA_MX-5
Two Seaters,8.1004,MAZDA_MX-5
Two Seaters,12.9728,Mercedes-Benz_AMG GT (coupe)
Two Seaters,12.9728,Mercedes-Benz_AMG GT (roadster)
Two Seaters,13.4822,Mercedes-Benz_AMG GT C (coupe)
Two Seaters,13.4822,Mercedes-Benz_AMG GT C (roadster)
Two Seaters,14.0325,Mercedes-Benz_AMG GT R (coupe)
Two Seaters,13.0314,Mercedes-Benz_AMG GT S (coupe)
Two Seaters,13.008,Mercedes-Benz_AMG SL 63
Two Seaters,10.1801,Mercedes-Benz_AMG SLC 43
Two Seaters,10.3239,Mercedes-Benz_SL 450
Two Seaters,11.5895,Mercedes-Benz_SL 550
Two Seaters,8.7871,Mercedes-Benz_SLC 300
Two Seaters,10.8097,NISSAN_370Z
Two Seaters,11.7859,NISSAN_370Z
Two Seaters,11.3346,NISSAN_370Z Roadster
Two Seaters,13.5181,Porsche_911 GT2 RS
Two Seaters,13.9346,Porsche_911 GT3
Two Seaters,15.0716,Porsche_911 GT3
Two Seaters,14.3424,Porsche_911 GT3 RS
Two Seaters,14.0676,Porsche_911 GT3 Touring
Two Seaters,9.3876,Porsche_Boxster
Two Seaters,9.7965,Porsche_Boxster
Two Seaters,10.6492,Porsche_Boxster GTS
Two Seaters,11.0352,Porsche_Boxster GTS
Two Seaters,9.8769,Porsche_Boxster S
Two Seaters,10.6811,Porsche_Boxster S
Two Seaters,9.3876,Porsche_Cayman
Two Seaters,9.7965,Porsche_Cayman
Two Seaters,10.6492,Porsche_Cayman GTS
Two Seaters,11.0352,Porsche_Cayman GTS
Two Seaters,9.8769,Porsche_Cayman S
Two Seaters,10.6811,Porsche_Cayman S
Minicompact Cars,13.2723,Aston Martin Lagonda Ltd_DB11 V12
Minicompact Cars,11.5227,Aston Martin Lagonda Ltd_DB11 V8
Minicompact Cars,13.8106,Aston Martin Lagonda Ltd_DBS
Minicompact Cars,14.718,Aston Martin Lagonda Ltd_Vanquish S
Minicompact Cars,17.5732,"Ferrari North America, Inc._GTC4Lusso"
Minicompact Cars,13.8411,"Ferrari North America, Inc._GTC4Lusso T"
